Round,Date,Home Team,Home Result,Away Team,Away Result,Venue,Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 1,20180308,Dragons,,Broncos,,UOW Jubilee Oval,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 1,20180309,Knights,,Sea Eagles,,McDonald Jones Stadium,6:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 1,20180309,Cowboys,,Sharks,,1300SMILES Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 1,20180310,Tigers,,Roosters,,ANZ Stadium,4:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 1,20180310,Rabbitohs,,Warriors,,Perth Stadium,7:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 1,20180310,Bulldogs,,Storm,,Perth Stadium,9:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 1,20180311,Panthers,,Eels,,Panthers Stadium,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 1,20180311,Titans,,Raiders,,Cbus Super Stadium,6:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 2,20180315,Sharks,,Dragons,,Southern Cross Group Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 2,20180316,Roosters,,Bulldogs,,Allianz Stadium,6:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 2,20180316,Broncos,,Cowboys,,Suncorp Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 2,20180317,Warriors,,Titans,,Mt Smart Stadium,3:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 2,20180317,Panthers,,Rabbitohs,,Panthers Stadium,5:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 2,20180317,Storm,,Tigers,,AAMI Park,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 2,20180318,Sea Eagles,,Eels,,Lottoland,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 2,20180318,Raiders,,Knights,,GIO Stadium,6:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 3,20180322,Storm,,Cowboys,,AAMI Park,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 3,20180323,Bulldogs,,Panthers,,ANZ Stadium,6:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 3,20180323,Tigers,,Broncos,,Campbelltown Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 3,20180324,Raiders,,Warriors,,GIO Stadium,3:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 3,20180324,Rabbitohs,,Sea Eagles,,ANZ Stadium,5:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 3,20180324,Eels,,Sharks,,ANZ Stadium,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 3,20180325,Titans,,Dragons,,Clive Berghofer Stadium,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 3,20180325,Roosters,,Knights,,Allianz Stadium,6:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 4,20180329,Cowboys,,Panthers,,1300SMILES Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 4,20180330,Rabbitohs,,Bulldogs,,ANZ Stadium,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 4,20180330,Sharks,,Storm,,Southern Cross Group Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 4,20180331,Roosters,,Warriors,,Allianz Stadium,5:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 4,20180331,Sea Eagles,,Raiders,,Lottoland,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 4,20180401,Dragons,,Knights,,WIN Stadium,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 4,20180401,Broncos,,Titans,,Suncorp Stadium,6:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 4,20180402,Tigers,,Eels,,ANZ Stadium,4:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 5,20180405,Raiders,,Bulldogs,,GIO Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 5,20180406,Sharks,,Roosters,,Southern Cross Group Stadium,6:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 5,20180406,Dragons,,Rabbitohs,,UOW Jubilee Oval,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 5,20180407,Tigers,,Storm,,Mt Smart Stadium,3:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 5,20180407,Warriors,,Cowboys,,Mt Smart Stadium,5:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 5,20180407,Knights,,Broncos,,McDonald Jones Stadium,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
